storeNumber,storeName,telephone,email,address,city,state_abbr,state,postal,latitude,longitude
R205,First Colony Mall,(281) 269-3410,firstcolonymall@apple.com,16535 Southwest Freeway,Sugar Land,TX,Texas,77479,29.59141,-95.625
R303,Boise Towne Square,(208) 377-6500,boisetownesquare@apple.com,350 North Milwaukee Street,Boise,ID,Idaho,83704,43.60841,-116.2782
R063,Towson Town Center,(410) 427-0360,towsontowncenter@apple.com,825 Dulaney Valley Road,Towson,MD,Maryland,21204,39.404576,-76.599685
R258,Deer Park,(847) 847-0400,deerpark@apple.com,20530 N. Rand Road,Deer Park,IL,Illinois,60010,42.1605,-88.0554
R126,The Woodlands,(281) 203-6870,thewoodlands@apple.com,1201 Lake Woodlands Drive,The Woodlands,TX,Texas,77380,30.1645,-95.4555
R043,Short Hills,(973) 564-5813,shorthills@apple.com,1200 Morris Turnpike,Short Hills,NJ,New Jersey,07078,40.740099,-74.36499
R300,Los Cerritos,(562) 356-1555,loscerritos@apple.com,242 Los Cerritos Center,Cerritos,CA,California,90703,33.862423,-118.093942
R137,Derby Street,(781) 556-0400,derbystreet@apple.com,94 Derby Street,Hingham,MA,Massachusetts,02043,42.17605,-70.90996
R461,Fashion Place,(801) 905-4410,fashionplace@apple.com,6191 S State Street,Murray,UT,Utah,84107,40.636147,-111.8876
R518,The Greene,(937) 431-4200,thegreene@apple.com,4422 Cedar Park Drive,Beavercreek,OH,Ohio,45440,39.694173,-84.101912
R594,Williamsburg,(929) 397-2740,williamsburg@apple.com,247 Bedford Avenue,Brooklyn,NY,New York,11211,40.71557,-73.95988
R322,Vintage Faire,(209) 342-1500,vintagefaire@apple.com,3401 Dale Road,Modesto,CA,California,95356,37.687749808908,-121.053261792864
R112,Bethesda Row,(301) 634-0880,bethesdarow@apple.com,4860 Bethesda Avenue,Bethesda,MD,Maryland,20814,38.980647104108,-77.09770810408
R462,Valencia Town Center,(661) 678-1490,valenciatowncenter@apple.com,24201 West Valencia Boulevard,Valencia,CA,California,91355,34.41515,-118.55813
R058,Houston Galleria,(713) 353-5471,houstongalleria@apple.com,5085 Westheimer Road,Houston,TX,Texas,77056,29.739061031416,-95.464409840804
R218,Partridge Creek,(586) 840-0500,partridgecreek@apple.com,17360 Hall Road,Clinton Township,MI,Michigan,48038,42.625713281289,-82.946410240383
R221,Fair Oaks,(703) 251-7400,fairoaks@apple.com,11750 Fair Oaks,Fairfax,VA,Virginia,22033,38.8626,-77.359
R020,Saddle Creek,(901) 751-6980,saddlecreek@apple.com,2031 West Street,Germantown,TN,Tennessee,38138,35.09344,-89.812433
R082,UTC,(858) 795-6870,utc@apple.com,4305 La Jolla Village Drive,San Diego,CA,California,92122,32.871867,-117.212674
R022,Rosedale Center,(763) 656-5010,rosedalecenter@apple.com,1595 Highway 36 W,Roseville,MN,Minnesota,55113,45.012576,-93.173237
R146,Irvine Spectrum Center,(949) 255-1500,irvinespectrum@apple.com,930 Spectrum Center Drive,Irvine,CA,California,92618,33.6489,-117.7406
R030,Aspen Grove,(303) 256-2580,aspengrove@apple.com,7301 S Santa Fe Drive,Littleton,CO,Colorado,80120,39.585168,-105.026
R017,Crossgates,(518) 389-0140,crossgates@apple.com,1 Crossgates Mall Road,Albany,NY,New York,12203,42.68902,-73.849222
R105,Oakridge,(408) 960-0110,oakridge@apple.com,925 Blossom Hill Road,San Jose,CA,California,95123,37.251599,-121.862899
R615,University Town Center,(941) 358-4600,universitytowncenter@apple.com,140 University Town Center Dr,Sarasota,FL,Florida,34243,27.38493,-82.45268
R513,CoolSprings Galleria,(615) 435-0620,coolspringsgalleria@apple.com,1800 Galleria Boulevard,Franklin,TN,Tennessee,37067,35.95814,-86.81336
R217,Chestnut Street,(415) 848-4445,chestnutstreet@apple.com,2125 Chestnut Street,San Francisco,CA,California,94123,37.800415,-122.438363
R413,Ross Park,(412) 318-0656,rosspark@apple.com,1000 Ross Park Mall Drive,Pittsburgh,PA,Pennsylvania,15237,40.54369,-80.00782
R140,Eastview,(585) 421-6070,eastview@apple.com,7979 Pittsford-Victor Road,Victor,NY,New York,14564,43.0297,-77.4428
R088,Sagemore,(856) 355-4940,sagemore@apple.com,500 Route 73 South,Marlton,NJ,New Jersey,08053,39.87958,-74.91887
R294,Carlsbad,(760) 697-9800,carlsbad@apple.com,1923 Calle Barcelona,Carlsbad,CA,California,92009,33.071256341208,-117.265198794902
R182,FlatIron Crossing,(720) 479-0465,flatironcrossing@apple.com,One West Flatiron Crossing Dr,Broomfield,CO,Colorado,80021,39.933409903017,-105.1329389226
R622,Solomon Pond Mall,(978) 838-5000,solomonpondmall@apple.com,601 Donald Lynch Boulevard,Marlborough,MA,Massachusetts,01752,42.355548,-71.612912
R032,SoHo,(212) 226-3126,soho@apple.com,103 Prince Street,New York,NY,New York,10012,40.725058,-73.999037
R715,Downtown Brooklyn,(718) 637-6200,downtownbrooklyn@apple.com,123 Flatbush Avenue,Brooklyn,NY,New York,11217-1483,40.685612,-73.978247
R237,Orland Square Mall,(708) 645-5401,orlandsquare@apple.com,288 Orland Square Drive,Orland Park,IL,Illinois,60462,41.6193,-87.8479
R006,Lenox Square,(404) 926-3085,lenoxsquare@apple.com,3393 Peachtree Road NE,Atlanta,GA,Georgia,30326,33.847941,-84.363533
R177,ABQ Uptown,(505) 837-6480,abquptown@apple.com,2240 Q Street NE,Albuquerque,NM,New Mexico,87110,35.10299,-106.56682
R139,Smith Haven,(631) 982-2500,smithhaven@apple.com,516 Smith Haven Mall,Lake Grove,NY,New York,11755,40.8649,-73.1311
R125,City Creek Center,(801) 456-9400,citycreekcenter@apple.com,50 South Main Street,Salt Lake City,UT,Utah,84101,40.768413,-111.892042
R172,Twenty Ninth Street,(720) 479-9451,twentyninthstreet@apple.com,1755 29th Street,Boulder,CO,Colorado,80301,40.01754,-105.25649
R056,Oakbrook,(630) 481-3470,oakbrook@apple.com,70 Oakbrook Center,Oak Brook,IL,Illinois,60523,41.84972,-87.9537
R229,Hilldale,(608) 827-9840,hilldale@apple.com,444 North Midvale Boulevard,Madison,WI,Wisconsin,53705,43.072144281456,-89.452947378159
R076,Chestnut Hill,(617) 454-9940,chestnuthill@apple.com,199 Boylston Street,Chestnut Hill,MA,Massachusetts,02467,42.321205,-71.17616
R213,Otay Ranch,(619) 205-6400,otayranch@apple.com,2015 Birch Road,Chula Vista,CA,California,91915,32.624013452564,-116.966609291354
R415,Grand Central,(212) 284-1800,grandcentral@apple.com,45 Grand Central Terminal,New York,NY,New York,10017,40.752733,-73.976907
R036,Clarendon,(703) 236-7970,clarendon@apple.com,2700 Clarendon Boulevard,Arlington,VA,Virginia,22201,38.887929036182,-77.091042977517
R191,Holyoke,(413) 493-3878,holyoke@apple.com,50 Holyoke Street,Holyoke,MA,Massachusetts,01040,42.168361193943,-72.641229866407
R185,Coconut Point,(239) 949-8860,coconutpoint@apple.com,23151 Fashion Drive,Estero,FL,Florida,33928,26.402100590821,-81.806635698069
R631,The Mall of New Hampshire,(603) 391-0180,themallofnewhampshire@apple.com,1500 S Willow Street,Manchester,NH,New Hampshire,03103,42.9562362,-71.4324994
R162,Walnut Street,(215) 861-6400,walnutstreet@apple.com,1607 Walnut Street,Philadelphia,PA,Pennsylvania,19103,39.950033333333,-75.167887789083
R190,Village Pointe,(402) 970-4477,villagepointe@apple.com,17170 Davenport Street,Omaha,NE,Nebraska,68118,41.261188,-96.183078
R034,Pasadena,(626) 463-6223,pasadena@apple.com,54 West Colorado Boulevard,Pasadena,CA,California,91105,34.145765883071,-118.15158605575
R327,Manhasset,(516) 734-2420,manhasset@apple.com,1900 Northern Boulevard,Manhasset,NY,New York,11030,40.795021215557,-73.676486243195
R108,Century City,(424) 204-4290,centurycity@apple.com,10250 Santa Monica Boulevard,Los Angeles,CA,California,90067,34.05855,-118.418116
R062,West County,(314) 288-1830,westcounty@apple.com,131 West County Center,St. Louis,MO,Missouri,63131,38.601199,-90.447078
R023,Northridge,(818) 477-9010,northridge@apple.com,9301 Tampa Avenue,Northridge,CA,California,91324,34.239617605223,-118.556073088477
R161,The Forum Shops,(702) 684-8800,forumshops@apple.com,3500 Las Vegas Blvd South,Las Vegas,NV,Nevada,89109,36.118786111111,-115.177691162857
R184,Perimeter,(678) 459-9800,perimeter@apple.com,4400 Ashford Dunwoody Road,Atlanta,GA,Georgia,30346,33.92409,-84.34062
R064,Fashion Show,(702) 577-9740,fashionshow@apple.com,3200 Las Vegas Blvd South,Las Vegas,NV,Nevada,89109,36.127508,-115.173007
R029,Burlingame,(650) 645-8930,burlingame@apple.com,1301 Burlingame Avenue,Burlingame,CA,California,94010,37.57827,-122.34708
R075,Union Square,(415) 486-4800,unionsquaresf@apple.com,300 Post Street,San Francisco,CA,California,94108,37.7886,-122.407159
R290,North Star,(210) 321-4420,northstar@apple.com,7400 San Pedro Avenue,San Antonio,TX,Texas,78216,29.518172084308,-98.496084987277
R231,Hillsdale,(650) 645-4800,hillsdale@apple.com,60  31st Avenue,San Mateo,CA,California,94403,37.5389,-122.3018
R612,Queens Center,(718) 489-1540,queenscenter@apple.com,90-15 Queens Boulevard,Elmhurst,NY,New York,11373,40.734751,-73.869029
R069,Mission Viejo,(949) 325-6426,missionviejo@apple.com,936C Shops at Mission Viejo,Mission Viejo,CA,California,92691,33.557258,-117.670118
R124,Beverly Center,(424) 239-3880,beverlycenter@apple.com,8500 Beverly Boulevard,Los Angeles,CA,California,90048,34.0749,-118.3773
R019,International Plaza,(813) 393-4720,internationalplaza@apple.com,2223 N West Shore Boulevard,Tampa,FL,Florida,33607,27.96408,-82.51952
R186,Summit Sierra,(775) 333-5460,summitsierra@apple.com,13945 South Virginia Street,Reno,NV,Nevada,89511,39.4031,-119.7516
R090,Washington Square,(503) 495-2080,washingtonsquare@apple.com,9585 SW Washington Square Rd,Tigard,OR,Oregon,97223,45.450701,-122.780998
R285,North County,(760) 317-2484,northcounty@apple.com,272 E Via Rancho Parkway,Escondido,CA,California,92025,33.07109,-117.06626
R070,Arden Fair,(916) 830-5610,ardenfair@apple.com,1689 Arden Way,Sacramento,CA,California,95815,38.601039,-121.426442
R066,The Fashion Mall at Keystone,(317) 814-3740,keystone@apple.com,8702 Keystone Crossing,Indianapolis,IN,Indiana,46240,39.9141,-86.11181
R297,El Paseo Village,(760) 862-9710,elpaseovillage@apple.com,73445 El Paseo,Palm Desert,CA,California,92260,33.719631,-116.383301
R225,The Summit,(205) 909-2570,thesummit@apple.com,211 Summit Boulevard,Birmingham,AL,Alabama,35243,33.44726,-86.7285
R264,Oxmoor,(502) 326-2840,oxmoor@apple.com,7900 Shelbyville Road,Louisville,KY,Kentucky,40222,38.247278,-85.609467
R591,Cumberland Mall,(678) 402-0725,cumberlandmall@apple.com,2860 Cumberland Mall,Atlanta,GA,Georgia,30339,33.88024,-84.46835
