location_name,street_address,city,state,zip_code,latitude,longitude,charging_details,amenities,superchargers_count,when_available,power_capacity,state_name,brand,updated
140 Lake Boulevard,,Tahoe City,CA,96145,39.167711,-120.144615,"6 Superchargers, available 24/7, up to 150kW",restrooms,6, 24/7, 150kW,California,Tesla superchargers,2024-07-27
Petro Shopping Center,5602 Dennis McCarthy Drive,Lebec,CA,93243-9725,34.986841,-118.946573,"24 Superchargers, available 24/7, up to 150kW","restaurants, wifi, shopping, beverage, restrooms",24, 24/7, 150kW,California,Tesla superchargers,2024-07-27
Outlets at Tejon,5701 Outlets at Tejon Parkway,Arvin,CA,93203,34.985735,-118.943854,76 Superchargers up to 250kW,"restaurants, wifi, shopping, restrooms",76 up to 250kW,,,California,Tesla superchargers,2024-07-27
Circle K,30515 Temecula Parkway,Temecula,CA,92592,33.474971,-117.129145,"8 Superchargers, available 24/7, up to 250kW","shopping, beverage, restrooms",8, 24/7, 250kW,California,Tesla superchargers,2024-07-27
The Promenade at Westlake,4000 East Thousand Oaks Boulevard,Thousand Oaks,CA,91362,34.159574,-118.822809,"24 Superchargers, available 24/7, up to 150kW","restaurants, wifi, shopping, beverage, restrooms",24, 24/7, 150kW,California,Tesla superchargers,2024-07-27
The Oaks,350 West Hillcrest Drive,Thousand Oaks,CA,91360,34.184718,-118.89107,"20 Superchargers, available 24/7, up to 72kW","restaurants, wifi, shopping, beverage, restrooms",20, 24/7, 72kW,California,Tesla superchargers,2024-07-27
Del Amo Fashion Center,3490  Fashion Way,Torrance,CA,90503,33.83431,-118.346985,"20 Superchargers, available 24/7, up to 250kW","restaurants, wifi, shopping, beverage, restrooms",20, 24/7, 250kW,California,Tesla superchargers,2024-07-27
Golden Corral,2850   West Grant Line Road,Tracy,CA,95304,37.752906,-121.467661,"12 Superchargers, available 24/7, up to 250kW","restaurants, wifi, shopping, beverage, restrooms",12, 24/7, 250kW,California,Tesla superchargers,2024-07-27
Bravo Farms Cheese Factory,36005 CA-99,Traver,CA,93673,36.448936,-119.486368,"16 Superchargers, available 24/7, up to 250kW","restaurants, shopping, beverage, restrooms",16, 24/7, 250kW,California,Tesla superchargers,2024-07-27
The Rock,11209 Brockway Road,Truckee,CA,96161-2221,39.321517,-120.162489,"8 Superchargers, available 24/7, up to 150kW","restaurants, wifi, lodging, beverage, restrooms",8, 24/7, 150kW,California,Tesla superchargers,2024-07-27
Gateway at Donner Pass,11290 Donner Pass Rd,Truckee,CA,96161-4808,39.326962,-120.207476,"11 Superchargers, available 24/7, up to 150kW","restaurants, wifi, shopping, beverage, restrooms",11, 24/7, 150kW,California,Tesla superchargers,2024-07-27
Soaring Way,Soaring Way,Truckee,CA,96161,39.320481,-120.155382,"12 Superchargers, available 24/7, up to 250kW","restaurants, shopping, beverage, restrooms",12, 24/7, 250kW,California,Tesla superchargers,2024-07-27
Countryside Plaza,1680 Countryside Drive,Turlock,CA,95380,37.509278,-120.876381,"16 Superchargers, available 24/7, up to 250kW","restaurants, shopping, restrooms",16, 24/7, 250kW,California,Tesla superchargers,2024-07-27
FLIGHT at Tustin Legacy,1705 Flight Way,Tustin,CA,92782,33.703899,-117.837267,"7 Superchargers, available 24/7, up to 250kW","restaurants, beverage, restrooms",7, 24/7, 250kW,California,Tesla superchargers,2024-07-27
Redhill Shopping Village,14521 Red Hill Avenue,Tustin,CA,92780,33.728264,-117.82171,"12 Superchargers, available 24/7, up to 250kW","restaurants, shopping, restrooms",12, 24/7, 250kW,California,Tesla superchargers,2024-07-27
The Village at Tustin Legacy,15160 Kensington Park Drive,Tustin,CA,92782,33.710872,-117.817284,"8 Superchargers, available 24/7, up to 250kW","restaurants, shopping, beverage, restrooms",8, 24/7, 250kW,California,Tesla superchargers,2024-07-27
Tortoise Rock Casino,73829 Baseline Road,Twentynine Palms,CA,92277-4125,34.1211,-116.050824,"8 Superchargers, available 24/7, up to 150kW","restaurants, wifi, beverage, restrooms",8, 24/7, 150kW,California,Tesla superchargers,2024-07-27
City of Ukiah Municipal Parking Lot E,250 W Clay St.,Ukiah,CA,95482-4830,39.147838,-123.208707,"8 Superchargers, available 24/7, up to 150kW","restaurants, wifi, shopping, beverage, restrooms",8, 24/7, 150kW,California,Tesla superchargers,2024-07-27
Raley's,1315   North State Street,Ukiah,CA,95482,39.167816,-123.210423,"12 Superchargers, available 24/7, up to 250kW","restaurants, shopping, restrooms",12, 24/7, 250kW,California,Tesla superchargers,2024-07-27
Union Square Marketplace,34536  Alvarado-Niles Road,Union City,CA,94587,37.587022,-122.020124,"12 Superchargers, available 24/7, up to 250kW","restaurants, wifi, shopping, beverage, restrooms",12, 24/7, 250kW,California,Tesla superchargers,2024-07-27
333 Universal Hollywood Dr,,Universal City,CA,91608,34.138187,-118.359252,"12 Superchargers, available 24/7, up to 250kW","lodging, restrooms",12, 24/7, 250kW,California,Tesla superchargers,2024-07-27
Vacaville Premium Outlets,321 Nut Tree Road,Vacaville,CA,95687-3242,38.366761,-121.957984,"16 Superchargers, available 24/7, up to 150kW","restaurants, wifi, shopping, lodging, beverage",16, 24/7, 150kW,California,Tesla superchargers,2024-07-27
Vacaville Commons Shopping Center,2098  Harbison Dr,Vacaville,CA,95687,38.362255,-121.963247,"12 Superchargers, available 24/7, up to 250kW","restaurants, shopping, beverage, restrooms",12, 24/7, 250kW,California,Tesla superchargers,2024-07-27
27630 The Old Road,,Valencia,CA,91355,34.423707,-118.584577,"8 Superchargers, available 24/7, up to 250kW","restaurants, lodging, beverage",8, 24/7, 250kW,California,Tesla superchargers,2024-07-27
Solano 80 Shopping Center,2155  Solano Avenue,Vallejo,CA,94590,38.10476627,-122.23068829,"20 Superchargers, available 24/7, up to 250kW","restaurants, shopping, lodging, restrooms",20, 24/7, 250kW,California,Tesla superchargers,2024-07-27
Target,904 Admiral Callaghan Lane,Vallejo,CA,94591,38.131234,-122.223719,"18 Superchargers, available 24/7, up to 150kW","restaurants, wifi, shopping, beverage, restrooms",18, 24/7, 150kW,California,Tesla superchargers,2024-07-27
Gas Works,256 S Ann St,Ventura,CA,93001,34.277333,-119.283323,"8 Superchargers, available 24/7, up to 250kW","restaurants, restrooms",8, 24/7, 250kW,California,Tesla superchargers,2024-07-27
Denny's,4095 Telegraph Rd,Ventura,CA,93003,34.27512778,-119.23966623,"12 Superchargers, available 24/7, up to 250kW","restaurants, restrooms",12, 24/7, 250kW,California,Tesla superchargers,2024-07-27
Victor Plaza Shopping Center,14598  7th St,Victorville,CA,92395,34.51729,-117.314069,"16 Superchargers, available 24/7, up to 250kW","restaurants, shopping, beverage",16, 24/7, 250kW,California,Tesla superchargers,2024-07-27
Restaurant Row,11604 Amargosa Rd,Victorville,CA,92392,34.462979,-117.352688,"16 Superchargers, available 24/7, up to 250kW","restaurants, beverage",16, 24/7, 250kW,California,Tesla superchargers,2024-07-27
Valley Fuel Travel Plaza,6603  Betty Drive,Visalia,CA,93291,36.351051,-119.425071,"19 Superchargers, available 24/7, up to 250kW","restaurants, beverage, restrooms",19, 24/7, 250kW,California,Tesla superchargers,2024-07-27
North County Square,1861 University Dr,Vista,CA,92081,33.1700099,-117.2189425,"20 Superchargers, available 24/7, up to 250kW","shopping, beverage, restrooms",20, 24/7, 250kW,California,Tesla superchargers,2024-07-27
401  Vista Village Drive,,Vista,CA,92083,33.200243,-117.245757,"20 Superchargers, available 24/7, up to 250kW","restaurants, beverage",20, 24/7, 250kW,California,Tesla superchargers,2024-07-27
Citrus Marketplace,2290 Oak Grove Rd,Walnut Creek,CA,94598,37.930066,-122.014754,"12 Superchargers, available 24/7, up to 250kW","restaurants, beverage, restrooms",12, 24/7, 250kW,California,Tesla superchargers,2024-07-27
Plaza Escuela,1153 Locust Street,Walnut Creek,CA,94596,37.895525,-122.061284,"24 Superchargers, available 24/7, up to 72kW","restaurants, wifi, shopping, restrooms",24, 24/7, 72kW,California,Tesla superchargers,2024-07-27
Target,1415 Main Street,Watsonville,CA,95076,36.915836,-121.773048,"18 Superchargers, available 24/7, up to 72kW","restaurants, wifi, shopping, beverage, restrooms",18, 24/7, 72kW,California,Tesla superchargers,2024-07-27
1665  Main Street,,Weaverville,CA,96093,40.720346,-122.927085,"8 Superchargers, available 24/7, up to 250kW","restaurants, shopping, beverage, restrooms",8, 24/7, 250kW,California,Tesla superchargers,2024-07-27
Rudy's Country Store &amp; BBQ,21361 Gulf Freeway,Webster,TX,77598,29.519762,-95.122132,"12 Superchargers, available 24/7, up to 150kW","restaurants, wifi, beverage, restrooms",12, 24/7, 150kW,Texas,Tesla superchargers,2024-07-27
McIntyre Square,2650  East Garvey Avenue South,West Covina,CA,91791,34.070435,-117.889539,"16 Superchargers, available 24/7, up to 250kW","restaurants, shopping, lodging, beverage, restrooms",16, 24/7, 250kW,California,Tesla superchargers,2024-07-27
Sunset Lot Public Parking,8775   Sunset Boulevard,West Hollywood,CA,90069,34.091242,-118.382628,"8 Superchargers, available 24/7, up to 250kW","restaurants, wifi, shopping, beverage, restrooms",8, 24/7, 250kW,California,Tesla superchargers,2024-07-27
Westminster Mall,1025 Westminster Mall,Westminster,CA,92683,33.745047,-118.013077,"24 Superchargers, available 24/7, up to 72kW","restaurants, wifi, shopping, beverage, restrooms",24, 24/7, 72kW,California,Tesla superchargers,2024-07-27
Granzella's Gourmet and Gifts,464 6th Street,Williams,CA,95987,39.155735,-122.148923,"12 Superchargers, available 24/7, up to 250kW","restaurants, wifi, shopping, lodging, beverage, restrooms",12, 24/7, 250kW,California,Tesla superchargers,2024-07-27
Raley's Lakewood Center,8852 Lakewood Drive,Windsor,CA,95492,38.549875,-122.805393,"12 Superchargers, available 24/7, up to 250kW","restaurants, shopping, beverage, restrooms",12, 24/7, 250kW,California,Tesla superchargers,2024-07-27
Target,2185 Bronze Star Drive,Woodland,CA,95776,38.670936,-121.723771,"8 Superchargers, available 24/7, up to 250kW","restaurants, wifi, shopping, beverage, restrooms",8, 24/7, 250kW,California,Tesla superchargers,2024-07-27
40865 Sunrise Canyon Road,,Yermo,CA,92398,34.919649,-116.769199,"40 Superchargers, available 24/7, up to 250kW",restaurants,40, 24/7, 250kW,California,Tesla superchargers,2024-07-27
EddieWorld,36017 Calico Road,Yermo,CA,92398,34.907176,-116.836014,"18 Superchargers, available 24/7, up to 150kW","restaurants, wifi, beverage, restrooms",18, 24/7, 150kW,California,Tesla superchargers,2024-07-27
Home Ranch,18601-18659 Yorba Linda Blvd,Yorba Linda,CA,92886,33.889198,-117.808147,"8 Superchargers, available 24/7, up to 250kW","restaurants, beverage, restrooms",8, 24/7, 250kW,California,Tesla superchargers,2024-07-27
Packing House Square,18210-18380 Yorba Linda Blvd,Yorba Linda,CA,92886,33.887762,-117.813759,"8 Superchargers, available 24/7, up to 250kW","restaurants, shopping, beverage, restrooms",8, 24/7, 250kW,California,Tesla superchargers,2024-07-27
1808 Fort Jones Road,,Yreka,CA,96097,41.701728,-122.645546,"12 Superchargers, available 24/7, up to 250kW","restaurants, shopping, beverage, restrooms",12, 24/7, 250kW,California,Tesla superchargers,2024-07-27
New Earth Market,1475 Tharp Road,Yuba City,CA,95993,39.148073,-121.648431,"10 Superchargers, available 24/7, up to 150kW","restaurants, shopping, beverage, restrooms",10, 24/7, 150kW,California,Tesla superchargers,2024-07-27
57220-57274  Twentynine Palms Highway,,Yucca Valley,CA,92284,34.123116,-116.416066,"16 Superchargers, available 24/7, up to 250kW","restaurants, shopping, restrooms",16, 24/7, 250kW,California,Tesla superchargers,2024-07-27
First Southwest Bank,715 6th St,Alamosa,CO,81101,37.46734,-105.868573,"8 Superchargers, available 24/7, up to 250kW","restaurants, shopping, beverage, restrooms",8, 24/7, 250kW,Colorado,Tesla superchargers,2024-07-27
Inn at Aspen,38750 Highway 82,Aspen,CO,81611-2506,39.206288,-106.858721,"8 Superchargers, available 24/7, up to 150kW","restaurants, wifi, lodging, beverage, restrooms",8, 24/7, 150kW,Colorado,Tesla superchargers,2024-07-27
Gloss Auto Wash &amp; Detail,3100 28th St,Boulder,CO,80301,40.031564,-105.257385,"8 Superchargers, available 24/7, up to 250kW","wifi, beverage, restrooms",8, 24/7, 250kW,Colorado,Tesla superchargers,2024-07-27
Twenty Ninth Street,1710 29th Street,Boulder,CO,80301,40.02021,-105.25727,"10 Superchargers, available 24/7, up to 150kW","restaurants, wifi, shopping, beverage, restrooms",10, 24/7, 150kW,Colorado,Tesla superchargers,2024-07-27
Kum &amp; Go,5112 East Bromley Lane,Brighton,CO,80603,39.972116,-104.747141,"8 Superchargers, available 24/7, up to 250kW","restaurants, wifi, beverage, restrooms",8, 24/7, 250kW,Colorado,Tesla superchargers,2024-07-27
Tomahawk Brush Travel Stop,1156  CO-71,Brush,CO,80723-2902,40.271063,-103.621782,"8 Superchargers, available 24/7, up to 150kW","restaurants, wifi, lodging, beverage, restrooms",8, 24/7, 150kW,Colorado,Tesla superchargers,2024-07-27
Centennial Promenade,9555 East County Line Road,Centennial,CO,80112,39.567031,-104.87806,"12 Superchargers, available 24/7, up to 250kW","restaurants, shopping, beverage, restrooms",12, 24/7, 250kW,Colorado,Tesla superchargers,2024-07-27
Cascade Parking Garage,215 North Cascade Avenue,Colorado Springs,CO,80903-1312,38.837186,-104.825038,"8 Superchargers, available 24/7, up to 150kW","restaurants, wifi, shopping, beverage, restrooms",8, 24/7, 150kW,Colorado,Tesla superchargers,2024-07-27
The Village at Aspen Park,25637 Conifer Road,Conifer,CO,80433-9078,39.544013,-105.290305,"8 Superchargers, available 24/7, up to 250kW","restaurants, shopping",8, 24/7, 250kW,Colorado,Tesla superchargers,2024-07-27
Kum &amp; Go,700 East Victory Way,Craig,CO,81625,40.514181,-107.538781,"8 Superchargers, available 24/7, up to 250kW","restaurants, wifi, lodging, beverage, restrooms",8, 24/7, 250kW,Colorado,Tesla superchargers,2024-07-27
Boulevard 1,44 Pontiac St,Denver,CO,80224,39.717396,-104.905997,"16 Superchargers, available 24/7, up to 250kW","restaurants, shopping, beverage",16, 24/7, 250kW,Colorado,Tesla superchargers,2024-07-27
Drake Tower Partners,6691 Tower Rd,Denver,CO,80249,39.817907,-104.773319,"8 Superchargers, available 24/7, up to 250kW","restaurants, wifi, lodging, beverage, restrooms",8, 24/7, 250kW,Colorado,Tesla superchargers,2024-07-27
Comfort Suites Denver International Airport,5940 Tower Rd,Denver,CO,80249,39.804158,-104.770877,"16 Superchargers, available 24/7, up to 250kW","restaurants, beverage, restrooms",16, 24/7, 250kW,Colorado,Tesla superchargers,2024-07-27
Hampton Inn &amp; Suites,4310 Airport Way,Denver,CO,80239-5796,39.774502,-104.795642,"4 Superchargers, available 24/7, up to 250kW","restaurants, wifi, lodging, beverage, restrooms",4, 24/7, 250kW,Colorado,Tesla superchargers,2024-07-27
Edwards Station,434 Edwards Access Road,Edwards,CO,81632,39.648124,-106.5877902,"8 Superchargers, available 24/7, up to 250kW","restaurants, restrooms",8, 24/7, 250kW,Colorado,Tesla superchargers,2024-07-27
The Stanley Hotel,333 Wonderview Avenue,Estes Park,CO,80517-9665,40.38382,-105.519754,"7 Superchargers, available 24/7, up to 150kW","restaurants, wifi, shopping, lodging, beverage, restrooms",7, 24/7, 150kW,Colorado,Tesla superchargers,2024-07-27
Residence Inn Glenwood Springs,125 Wulfsohn Road,Glenwood Springs,CO,81601-8700,39.552011,-107.340235,"6 Superchargers, available 24/7, up to 150kW","restaurants, wifi, shopping, lodging, beverage, restrooms",6, 24/7, 150kW,Colorado,Tesla superchargers,2024-07-27
Mesa Mall,2424 U.S-6,Grand Junction,CO,81505-1109,39.091392,-108.604429,"6 Superchargers, available 24/7, up to 150kW","restaurants, wifi, shopping, beverage, restrooms",6, 24/7, 150kW,Colorado,Tesla superchargers,2024-07-27
Kum &amp; Go,1319 Miner Street,Idaho Springs,CO,80452,39.741722,-105.518318,"8 Superchargers, available 24/7, up to 250kW","restaurants, wifi, shopping, beverage, restrooms",8, 24/7, 250kW,Colorado,Tesla superchargers,2024-07-27
Buc-ee's Johnstown,5201 Nugget Rd,Johnstown,CO,80534,40.333878,-104.983113,"12 Superchargers, available 24/7, up to 250kW","restaurants, shopping, beverage, restrooms",12, 24/7, 250kW,Colorado,Tesla superchargers,2024-07-27
Kum &amp; Go #0909,605 Park Avenue,Kremmling,CO,80459,40.059708,-106.388109,"8 Superchargers, available 24/7, up to 250kW","restaurants, wifi, lodging, beverage, restrooms",8, 24/7, 250kW,Colorado,Tesla superchargers,2024-07-27
5505 W 20th Ave,,Edgewater,CO,80214,39.748196,-105.057777,,"restaurants, wifi, shopping, beverage, restrooms",,,,Colorado,Tesla superchargers,2024-07-27
Colorado Mills,14500 West Colfax Avenue,Lakewood,CO,80401,39.733982,-105.154053,"16 Superchargers, available 24/7, up to 250kW","restaurants, shopping, beverage",16, 24/7, 250kW,Colorado,Tesla superchargers,2024-07-27
Colorado Welcome Center,109  E Beech St,Lamar,CO,81052,38.089303,-102.617951,"8 Superchargers, available 24/7, up to 250kW","restaurants, wifi, beverage, restrooms",8, 24/7, 250kW,Colorado,Tesla superchargers,2024-07-27
Arby's,2221 6th St.,Limon,CO,80828,39.269196,-103.708454,"8 Superchargers, available 24/7, up to 250kW","restaurants, wifi, lodging, restrooms",8, 24/7, 250kW,Colorado,Tesla superchargers,2024-07-27
Park Meadows,8401 Park Meadows Center Drive,Lone Tree,CO,80124-5128,39.562485,-104.873368,"10 Superchargers, available 24/7, up to 150kW","restaurants, wifi, shopping, beverage, restrooms",10, 24/7, 150kW,Colorado,Tesla superchargers,2024-07-27
"Embassy Suites by Hilton Loveland Hotel, Spa &amp; Conference Center",4705 Clydesdale Parkway,Loveland,CO,80538-9347,40.4405,-104.9912,"10 Superchargers, available 24/7, up to 150kW","restaurants, wifi, lodging, beverage, restrooms",10, 24/7, 150kW,Colorado,Tesla superchargers,2024-07-27
533 North 1st Street,,Montrose,CO,81401,38.481221,-107.87638,"8 Superchargers, available 24/7, up to 250kW",restrooms,8, 24/7, 250kW,Colorado,Tesla superchargers,2024-07-27
Kum &amp; Go #650,17970 Knollwood Drive,Monument,CO,80132,39.092465,-104.851906,"8 Superchargers, available 24/7, up to 250kW","restaurants, wifi, shopping, beverage, restrooms",8, 24/7, 250kW,Colorado,Tesla superchargers,2024-07-27
Mountain Village Gondola Parking Garage,455 Mountain Village Blvd,Mountain Village,CO,81435-9459,37.93272034,-107.8550438,"8 Superchargers, available 24/7, up to 250kW","shopping, beverage",8, 24/7, 250kW,Colorado,Tesla superchargers,2024-07-27
Grub &amp; Scrub,28 Cardinal Way,Parachute,CO,81635,39.452131,-108.046094,"12 Superchargers, available 24/7, up to 250kW","restaurants, beverage",12, 24/7, 250kW,Colorado,Tesla superchargers,2024-07-27
High Valley Center,6250 US Highway 285,Poncha Springs,CO,81242-0000,38.511369,-106.076097,"8 Superchargers, available 24/7, up to 150kW","restaurants, wifi, beverage, restrooms",8, 24/7, 150kW,Colorado,Tesla superchargers,2024-07-27
Central Main St Parking Garage,101-149  Richmond Avenue,Pueblo,CO,81003,38.266702,-104.608993,"12 Superchargers, available 24/7, up to 250kW","restaurants, lodging, restrooms",12, 24/7, 250kW,Colorado,Tesla superchargers,2024-07-27
Sonic Drive-In,675 Wapiti Ct,Rifle,CO,81650,39.523071,-107.774132,"12 Superchargers, available 24/7, up to 250kW","restaurants, beverage, restrooms",12, 24/7, 250kW,Colorado,Tesla superchargers,2024-07-27
Kum &amp; Go,101 Ruby Ranch Road,Silverthorne,CO,80498,39.64627739,-106.0798038,"8 Superchargers, available 24/7, up to 250kW","restaurants, wifi, beverage, restrooms",8, 24/7, 250kW,Colorado,Tesla superchargers,2024-07-27
Outlets At Silverthorne,246-V  Rainbow Dr,Silverthorne,CO,80498-0497,39.631927,-106.070973,"12 Superchargers, available 24/7, up to 150kW","restaurants, wifi, shopping, beverage, restrooms",12, 24/7, 150kW,Colorado,Tesla superchargers,2024-07-27
"Superior, CO",2  South Marshall Road,Superior,CO,80027,39.955089,-105.16408,"16 Superchargers, available 24/7, up to 250kW","wifi, beverage, restrooms",16, 24/7, 250kW,Colorado,Tesla superchargers,2024-07-27
Kum &amp; Go #321,237 East 120th Avenue,Thornton,CO,80233,39.914897,-104.985596,"8 Superchargers, available 24/7, up to 250kW","restaurants, wifi, lodging, beverage, restrooms",8, 24/7, 250kW,Colorado,Tesla superchargers,2024-07-27
Trinidad Fuel Stop,9960 Santa Fe Trail,Trinidad,CO,81082-3968,37.13409,-104.5198,"3 Superchargers, available 24/7, up to 250kW","restaurants, wifi, shopping, lodging, beverage, restrooms",3, 24/7, 250kW,Colorado,Tesla superchargers,2024-07-27
Kum &amp; Go,7450 Federal Blvd,Westminster,CO,80030,39.83093,-105.02389,"8 Superchargers, available 24/7, up to 250kW","restaurants, wifi, beverage, restrooms",8, 24/7, 250kW,Colorado,Tesla superchargers,2024-07-27
Danbury Fair Mall,7 Backus Ave,Danbury,CT,06810-7422,41.379489,-73.477627,"10 Superchargers, available 24/7, up to 150kW","restaurants, wifi, shopping, beverage, restrooms",10, 24/7, 150kW,Connecticut,Tesla superchargers,2024-07-27
Connecticut Welcome Center,1 E Trail,Darien,CT,06820-5513,41.079691,-73.462502,"10 Superchargers, available 24/7, up to 250kW","wifi, beverage, restrooms",10, 24/7, 250kW,Connecticut,Tesla superchargers,2024-07-27
Connecticut Welcome Center,1 West Ave.,Darien,CT,06820-4737,41.068042,-73.503258,"12 Superchargers, available 24/7, up to 250kW","wifi, beverage, restrooms",12, 24/7, 250kW,Connecticut,Tesla superchargers,2024-07-27
Fairfield NB,165 Round Hill Road,Fairfield,CT,06824,41.146469,-73.257238,"12 Superchargers, available 24/7, up to 250kW","restaurants, wifi, beverage, restrooms",12, 24/7, 250kW,Connecticut,Tesla superchargers,2024-07-27
Fairfield SB,267 Round Hill Road,Fairfield,CT,06824,41.147897,-73.255484,"8 Superchargers, available 24/7, up to 250kW","restaurants, wifi, beverage, restrooms",8, 24/7, 250kW,Connecticut,Tesla superchargers,2024-07-27
Greenwich Northbound Travel Plaza,3000 Merritt Parkway,Greenwich,CT,06830-6831,41.040524,-73.672917,"4 Superchargers, available 24/7, up to 150kW","restaurants, beverage, restrooms",4, 24/7, 150kW,Connecticut,Tesla superchargers,2024-07-27
Greenwich Southbound Travel Plaza,2000 Merritt Parkway,Greenwich,CT,06830-6831,41.041965,-73.672265,"4 Superchargers, available 24/7, up to 150kW","restaurants, beverage, restrooms",4, 24/7, 150kW,Connecticut,Tesla superchargers,2024-07-27
Hamden Plaza,2100 Dixwell Avenue,Hamden,CT,06514,41.369869,-72.919884,"12 Superchargers, available 24/7, up to 250kW","restaurants, wifi, shopping, beverage, restrooms",12, 24/7, 250kW,Connecticut,Tesla superchargers,2024-07-27
Pride Stores,165 Leibert Road,Hartford,CT,06120,41.788173,-72.654661,"12 Superchargers, available 24/7, up to 150kW","restaurants, beverage, restrooms",12, 24/7, 150kW,Connecticut,Tesla superchargers,2024-07-27
777 Main Street,,Hartford,CT,06824-2308,41.766493,-72.674129,,"restaurants, shopping, restrooms",,,,Connecticut,Tesla superchargers,2024-07-27
Lisbon Landing,160 River Road,LIsbon,CT,06351,41.585099,-71.991211,"8 Superchargers, available 24/7, up to 250kW","restaurants, wifi, shopping, beverage, restrooms",8, 24/7, 250kW,Connecticut,Tesla superchargers,2024-07-27
Madison Service Plaza (NB),1-95 North Avenue,Madison,CT,06443,41.29042,-72.58084,"10 Superchargers, available 24/7, up to 250kW","restaurants, wifi, beverage, restrooms",10, 24/7, 250kW,Connecticut,Tesla superchargers,2024-07-27
Madison Service Plaza (SB),1-95 South Street,Madison,CT,06443,41.291179,-72.578087,"10 Superchargers, available 24/7, up to 250kW","restaurants, wifi, beverage, restrooms",10, 24/7, 250kW,Connecticut,Tesla superchargers,2024-07-27
The Plaza at Buckland Hills,1470 Pleasant Valley Road,Manchester,CT,06042-8764,41.804722,-72.562119,"16 Superchargers, available 24/7, up to 150kW","restaurants, wifi, shopping, lodging, beverage, restrooms",16, 24/7, 150kW,Connecticut,Tesla superchargers,2024-07-27
Dunkin' Donuts,903 East Main Street,Meriden,CT,06450,41.527698,-72.774199,"8 Superchargers, available 24/7, up to 250kW","restaurants, wifi, beverage, restrooms",8, 24/7, 250kW,Connecticut,Tesla superchargers,2024-07-27
Connecticut Post Mall,1201 Boston Post Road,Milford,CT,06460,41.237583,-73.03625,"14 Superchargers, available 24/7, up to 150kW","restaurants, wifi, shopping, beverage, restrooms",14, 24/7, 150kW,Connecticut,Tesla superchargers,2024-07-27
Milford Travel Plaza,1 Connecticut Turnpike,Milford,CT,06460-6461,41.245823,-73.009056,"2 Superchargers, available 24/7, up to 150kW","restaurants, wifi, beverage, restrooms",2, 24/7, 150kW,Connecticut,Tesla superchargers,2024-07-27
2 Connecticut Turnpike,,Milford,CT,06460-6461,41.246682,-73.009491,"2 Superchargers, available 24/7, up to 150kW","restaurants, wifi, beverage, restrooms",2, 24/7, 150kW,Connecticut,Tesla superchargers,2024-07-27
12  Coogan Boulevard,,Mystic,CT,06355,41.372215,-71.95688,"12 Superchargers, available 24/7, up to 250kW","restaurants, shopping, beverage",12, 24/7, 250kW,Connecticut,Tesla superchargers,2024-07-27
Hotel Marcel,500  Sargent Drive,New Haven,CT,06511,41.296561,-72.918098,"12 Superchargers, available 24/7, up to 250kW","restaurants, shopping, lodging, beverage, restrooms",12, 24/7, 250kW,Connecticut,Tesla superchargers,2024-07-27
New London Mall,351 North Frontage Road,New London,CT,06320,41.370955,-72.119373,"8 Superchargers, available 24/7, up to 250kW","restaurants, shopping, restrooms",8, 24/7, 250kW,Connecticut,Tesla superchargers,2024-07-27
Route 7 Travel Plaza,291 Danbury Road,New Milford,CT,06776,41.539009,-73.421177,"8 Superchargers, available 24/7, up to 250kW","restaurants, beverage, restrooms",8, 24/7, 250kW,Connecticut,Tesla superchargers,2024-07-27
North Canaan Shopping Center,11 East Main Street,North Canaan,CT,06018,42.023617,-73.321016,"8 Superchargers, available 24/7, up to 250kW","shopping, beverage, restrooms",8, 24/7, 250kW,Connecticut,Tesla superchargers,2024-07-27
Grand Central Fashion Plaza Shopping Center,1145 High Ridge Rd,North Stamford,CT,06905-1215,41.107302,-73.546669,"8 Superchargers, available 24/7, up to 150kW","restaurants, wifi, shopping, beverage, restrooms",8, 24/7, 150kW,Connecticut,Tesla superchargers,2024-07-27
Pavilion West,632 Cromwell Ave,Rocky Hill,CT,06067,41.653461,-72.679726,"12 Superchargers, available 24/7, up to 250kW","restaurants, restrooms",12, 24/7, 250kW,Connecticut,Tesla superchargers,2024-07-27
Target,600 Executive Blvd S,Southington,CT,06489,41.61190646,-72.9007363,"12 Superchargers, available 24/7, up to 250kW",shopping,12, 24/7, 250kW,Connecticut,Tesla superchargers,2024-07-27
Ridgeway Shopping Center,2233 Summer Street,Stamford,CT,06905,41.068649,-73.545495,"12 Superchargers, available 24/7, up to 72kW","restaurants, wifi, shopping, beverage, restrooms",12, 24/7, 72kW,Connecticut,Tesla superchargers,2024-07-27
145  Talcottville Rd,,Vernon,CT,06066,41.831076,-72.495841,"8 Superchargers, available 24/7, up to 250kW","beverage, restrooms",8, 24/7, 250kW,Connecticut,Tesla superchargers,2024-07-27
Dunkin' Donuts,160 Kukas Lane,Waterbury,CT,06705,41.537262,-73.006157,"8 Superchargers, available 24/7, up to 150kW","restaurants, wifi, beverage, restrooms",8, 24/7, 150kW,Connecticut,Tesla superchargers,2024-07-27
Corbins Corner Shopping Center,1445 New Britain Ave.,West Hartford,CT,06110-1659,41.722556,-72.760125,"8 Superchargers, available 24/7, up to 150kW","restaurants, wifi, shopping, beverage, restrooms",8, 24/7, 150kW,Connecticut,Tesla superchargers,2024-07-27
