storeNumber,facilityType,phone,name,region,company,street,city,state,postalCode,country,open_date,latitude,longitude,state_name
325,NIKE_OWNED_STORE,16467163740,Nike Soho,NORTH_AMERICA,Nike,529 Broadway,New York,NY,10012-3927,USA,2016-11-11,40.723214,-73.998834,New York
365,NIKE_OWNED_STORE,12123769480,Nike House of Innovation NYC,NORTH_AMERICA,Nike,650 5th Avenue,New York,NY,10019-6108,USA,2018-11-14,40.759713,-73.976643,New York
359,NIKE_OWNED_STORE,12125351530,Nike Well Collective - Upper East Side,NORTH_AMERICA,Nike,1131 3rd Ave,New York,NY,10065-6229,USA,2013-10-30,40.766174,-73.962985,New York
434,NIKE_OWNED_STORE,16462256537,Nike Well Collective - Williamsburg,NORTH_AMERICA,Nike,81 North 6th Street,Brooklyn,NY,11249-3001,USA,2021-09-23,40.7188693,-73.960679,New York
467,NIKE_OWNED_STORE,16463489860,Nike Unite - Harlem,NORTH_AMERICA,Nike,5 W. 125th Street,New York,NY,10027-4861,USA,2022-10-27,40.806996,-73.942689,New York
253,NIKE_OWNED_STORE,13474149837,Nike Unite - East New York,NORTH_AMERICA,Nike,410 Gateway Drive,Brooklyn,NY,11239-2824,USA,2020-11-12,40.653077,-73.872551,New York
451,NIKE_OWNED_STORE,17183605641,Nike Unite - North Bronx,NORTH_AMERICA,Nike,340 Baychester Ave.,Bronx,NY,10475-4588,USA,2022-09-22,40.8677392,-73.8285814,New York
218,NIKE_OWNED_STORE,17183531694,Nike Clearance Store - Flushing Queens,NORTH_AMERICA,Nike,Sky View Center,Flushing,NY,11354-5111,USA,2015-04-02,40.757456,-73.834699,New York
455,NIKE_OWNED_STORE,19149020050,Nike Well Collective - Scarsdale,NORTH_AMERICA,Nike,696 White Plains Post Road,Eastchester,NY,10583-0000,USA,2022-11-10,40.9709398,-73.8046899,New York
443,NIKE_OWNED_STORE,15163871105,Nike Well Collective - Manhasset,NORTH_AMERICA,Nike,"1950 Northern Blvd., Space A-2",Manhasset,NY,11030-3549,USA,2022-07-21,40.7953544,-73.674867,New York
358,NIKE_OWNED_STORE,15167661229,Nike Factory Store - Oceanside,NORTH_AMERICA,Nike,The Sands Shopping Center - Oceanside,Oceanside,NY,11572-5702,USA,2009-05-05,40.622976,-73.638142,New York
167,NIKE_OWNED_STORE,16312423014,Nike Factory Store - Deer Park,NORTH_AMERICA,Nike,Tanger Outlet Center - Deer Park,Deer Park,NY,11729-7057,USA,2008-10-23,40.762815,-73.305831,New York
3,NIKE_OWNED_STORE,16313690706,Nike Factory Store - Riverhead,NORTH_AMERICA,Nike,Tanger Outlet Center - Riverhead,Riverhead,NY,11901-6402,USA,1998-02-07,40.919515,-72.711662,New York
474,NIKE_OWNED_STORE,18603278030,Nike Well Collective - South Windsor,NORTH_AMERICA,Nike,"501 Evergreen Way, STE 501",South Windsor,CT,06074-6964,USA,2023-05-11,41.8131564,-72.5563182,Connecticut
68,NIKE_OWNED_STORE,18606694410,Nike Factory Store - Clinton,NORTH_AMERICA,Nike,Clinton Crossing Premium Outlets,Clinton,CT,06413-1377,USA,1996-10-24,41.289172,-72.532193,Connecticut
228,NIKE_OWNED_STORE,18603832890,Nike Factory Store - Foxwoods,NORTH_AMERICA,Nike,Tanger Outlet Center - Foxwoods,Mashantucket,CT,06338-0000,USA,2015-05-21,41.475727,-71.959891,Connecticut
355,NIKE_OWNED_STORE,16034246755,Nike Factory Store - Merrimack,NORTH_AMERICA,Nike,Merrimack Premium Outlets,Merrimack,NH,03054-4779,USA,2012-06-14,42.826069,-71.500759,New Hampshire
320,NIKE_OWNED_STORE,14013699548,Nike Well Collective - Cranston,NORTH_AMERICA,Nike,74 Hillside Rd,Cranston,RI,02920-5619,USA,2022-08-11,41.76256,-71.458002,Rhode Island
597,NIKE_OWNED_STORE,15083184478,Nike Well Collective - Natick,NORTH_AMERICA,Nike,"1245 Worcester St, Suite #3072",Natick,MA,01760-1546,USA,2023-06-28,42.302744,-71.3853668,Massachusetts
106,NIKE_OWNED_STORE,15083841800,Nike Factory Store - Wrentham,NORTH_AMERICA,Nike,Wrentham Premium Outlets,Wrentham,MA,02093-2102,USA,2000-11-02,42.036817,-71.351067,Massachusetts
449,NIKE_OWNED_STORE,1-800-344-6453,Nike Unite - Salem,NORTH_AMERICA,Nike,6 South Village Drive Ste. 200,Salem,NH,03079,USA,2021-12-16,42.768581597453256,-71.22350120099392,New Hampshire
561,NIKE_OWNED_STORE,17813556388,Nike Well Collective - Dedham,NORTH_AMERICA,Nike,222 Legacy Place,Dedham,MA,02026-6836,USA,2023-07-25,42.2328164,-71.1780853,Massachusetts
433,NIKE_OWNED_STORE,18572214090,Nike Well Collective - Chestnut Hill,NORTH_AMERICA,Nike,"33 Boylston St, Suite 4830",Chestnut Hill,MA,02467-1731,USA,2021-08-05,42.3227789,-71.1687287,Massachusetts
283,NIKE_OWNED_STORE,16172029935,Nike Unite - Watertown,NORTH_AMERICA,Nike,20 Eldridge Ave,Watertown,MA,02472-2994,USA,2021-08-05,42.3625994,-71.1574078,Massachusetts
194,NIKE_OWNED_STORE,16176294192,Nike Factory Store - Somerville,NORTH_AMERICA,Nike,300 Artisan Way,Somerville,MA,02145-1228,USA,2014-05-16,42.395177,-71.080762,Massachusetts
81,NIKE_OWNED_STORE,16172673400,Nike Boston,NORTH_AMERICA,Nike,200 Newbury Street,Boston,MA,02116-2504,USA,1997-07-19,42.349991,-71.080145,Massachusetts
282,NIKE_OWNED_STORE,16179293978,Nike Factory Store - Dorchester,NORTH_AMERICA,Nike,33 District Avenue,Dorchester,MA,02125-1683,USA,2017-11-21,42.325773,-71.062154,Massachusetts
240,NIKE_OWNED_STORE,+1 (781) 334-2341,Nike Well Collective - Lynnfield,NORTH_AMERICA,Nike,1125 Market St.,Lynnfield,MA,01940,USA,2022-10-13,42.517233,-71.035724,Massachusetts
558,NIKE_OWNED_STORE,17813472168,Nike Well Collective - Hingham,NORTH_AMERICA,Nike,928 Derby St STE 98,Hingham,MA,02043-4218,USA,2023-06-29,42.1781754,-70.9106533,Massachusetts
188,NIKE_OWNED_STORE,12074516094,Nike Factory Store - Kittery,NORTH_AMERICA,Nike,Kittery Premium Outlets,Kittery,ME,03904-6509,USA,2008-03-25,43.115399,-70.730363,Maine
108,NIKE_OWNED_STORE,17878464108,Nike Factory Store - Barceloneta,NORTH_AMERICA,Nike,Puerto Rico Premium Outlets,Barceloneta,PR,00617-2560,USA,2008-11-13,18.439623,-66.541845,
241,NIKE_OWNED_STORE,17877201400,Nike Factory Store - San Juan,NORTH_AMERICA,Nike,The Outlets at Montehiedra,San Juan,PR,00926-7007,USA,2013-11-14,18.3393273,-66.0678824,
